Entity,Continents,Code,Year,"Cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Armenia,Asia,ARM,2008,403.02014
Armenia,Asia,ARM,2009,349.8879
Armenia,Asia,ARM,2010,343.95685
Armenia,Asia,ARM,2011,323.52078
Armenia,Asia,ARM,2012,322.80957
Armenia,Asia,ARM,2013,307.88495
Armenia,Asia,ARM,2014,312.74008
Armenia,Asia,ARM,2021,352.69336
Armenia,Asia,ARM,2020,375.8216
Armenia,Asia,ARM,2019,304.684
Armenia,Asia,ARM,2018,310.9402
Armenia,Asia,ARM,2017,334.87628
Armenia,Asia,ARM,2015,296.68723
Armenia,Asia,ARM,2016,306.29126
Australia,Oceania,AUS,1950,493.1095
Australia,Oceania,AUS,1951,512.7595
Australia,Oceania,AUS,1952,516.4505
Australia,Oceania,AUS,1953,497.5593
Australia,Oceania,AUS,1954,501.36963
Australia,Oceania,AUS,1955,492.46622
Australia,Oceania,AUS,1956,510.82028
Australia,Oceania,AUS,1957,481.73795
Australia,Oceania,AUS,1958,475.19052
Australia,Oceania,AUS,1959,491.94928
Australia,Oceania,AUS,1960,488.99515
Australia,Oceania,AUS,1961,475.46445
Australia,Oceania,AUS,1962,490.12225
Australia,Oceania,AUS,1963,490.15717
Australia,Oceania,AUS,1964,507.4913
Australia,Oceania,AUS,1965,496.11572
Australia,Oceania,AUS,1966,504.06555
Australia,Oceania,AUS,1967,482.58133
Australia,Oceania,AUS,1968,514.8331
Australia,Oceania,AUS,1969,484.68463
Australia,Oceania,AUS,1970,497.55493
Australia,Oceania,AUS,1971,483.0408
Australia,Oceania,AUS,1972,467.93164
Australia,Oceania,AUS,1973,461.77042
Australia,Oceania,AUS,1974,473.06018
Australia,Oceania,AUS,1975,416.84753
Australia,Oceania,AUS,1976,416.36823
Australia,Oceania,AUS,1977,391.42667
Australia,Oceania,AUS,1978,375.40555
Australia,Oceania,AUS,1979,355.9882
Australia,Oceania,AUS,1980,346.9838
Australia,Oceania,AUS,1981,333.85736
Australia,Oceania,AUS,1982,331.64572
Australia,Oceania,AUS,1983,308.6825
Australia,Oceania,AUS,1984,305.52094
Australia,Oceania,AUS,1985,301.09277
Australia,Oceania,AUS,1986,276.90015
Australia,Oceania,AUS,1987,272.0751
Australia,Oceania,AUS,1988,257.7469
Australia,Oceania,AUS,1989,261.9465
Australia,Oceania,AUS,1990,239.63553
Australia,Oceania,AUS,1991,227.42978
Australia,Oceania,AUS,1992,226.56128
Australia,Oceania,AUS,1993,212.17006
Australia,Oceania,AUS,1994,212.78877
Australia,Oceania,AUS,1995,197.34866
Australia,Oceania,AUS,1996,193.15578
Australia,Oceania,AUS,1997,181.99896
Australia,Oceania,AUS,1998,173.76103
Australia,Oceania,AUS,1999,165.07251
Australia,Oceania,AUS,2000,154.0971
Australia,Oceania,AUS,2001,147.2651
Australia,Oceania,AUS,2002,142.63034
Australia,Oceania,AUS,2003,134.5257
Australia,Oceania,AUS,2004,129.08118
Australia,Oceania,AUS,2006,119.39977
Australia,Oceania,AUS,2007,113.90773
Australia,Oceania,AUS,2008,113.730995
Australia,Oceania,AUS,2009,104.66892
Australia,Oceania,AUS,2010,99.70675
Australia,Oceania,AUS,2011,97.5968
Australia,Oceania,AUS,2012,91.154
Australia,Oceania,AUS,2013,87.79595
Australia,Oceania,AUS,2014,88.21639
Australia,Oceania,AUS,2021,70.08532
Australia,Oceania,AUS,2020,68.418724
Australia,Oceania,AUS,2019,76.46233
Australia,Oceania,AUS,2018,75.2876
Australia,Oceania,AUS,2017,79.26224
Australia,Oceania,AUS,2016,82.068214
Australia,Oceania,AUS,2015,86.83922
Austria,Europe,AUT,1955,410.0745
Austria,Europe,AUT,1956,430.77823
Austria,Europe,AUT,1957,444.0302
Austria,Europe,AUT,1958,417.11496
Austria,Europe,AUT,1959,407.35556
Austria,Europe,AUT,1960,414.4145
Austria,Europe,AUT,1961,399.37622
Austria,Europe,AUT,1962,412.1969
Austria,Europe,AUT,1963,388.48596
Austria,Europe,AUT,1964,374.72247
Austria,Europe,AUT,1965,396.25003
Austria,Europe,AUT,1966,382.48853
Austria,Europe,AUT,1967,408.79886
Austria,Europe,AUT,1968,405.8634
Austria,Europe,AUT,1969,417.8205
Austria,Europe,AUT,1970,417.6453
Austria,Europe,AUT,1971,419.16064
Austria,Europe,AUT,1972,409.13358
Austria,Europe,AUT,1973,388.74213
Austria,Europe,AUT,1974,394.43027
Austria,Europe,AUT,1975,401.4364
Austria,Europe,AUT,1976,401.8031
Austria,Europe,AUT,1977,386.54388
Austria,Europe,AUT,1978,397.04288
Austria,Europe,AUT,1979,375.8615
Austria,Europe,AUT,1980,384.2842
Austria,Europe,AUT,1981,379.62192
Austria,Europe,AUT,1982,369.72232
Austria,Europe,AUT,1983,378.68967
Austria,Europe,AUT,1984,350.60117
Austria,Europe,AUT,1985,350.91806
Austria,Europe,AUT,1986,337.73407
Austria,Europe,AUT,1987,320.63748
Austria,Europe,AUT,1988,311.30542
Austria,Europe,AUT,1989,302.77338
Austria,Europe,AUT,1990,290.7656
Austria,Europe,AUT,1991,295.61993
Austria,Europe,AUT,1992,291.15005
Austria,Europe,AUT,1993,286.50574
Austria,Europe,AUT,1994,275.81192
Austria,Europe,AUT,1995,275.2907
Austria,Europe,AUT,1996,274.33167
Austria,Europe,AUT,1997,267.0061
Austria,Europe,AUT,1998,260.6463
Austria,Europe,AUT,1999,253.48994
Austria,Europe,AUT,2000,235.8798
Austria,Europe,AUT,2001,222.60655
Austria,Europe,AUT,2002,209.40105
Austria,Europe,AUT,2003,197.00291
Austria,Europe,AUT,2004,180.48369
Austria,Europe,AUT,2005,175.24156
Austria,Europe,AUT,2006,167.76112
Austria,Europe,AUT,2007,163.58752
Austria,Europe,AUT,2008,154.68408
Austria,Europe,AUT,2009,155.2084
Austria,Europe,AUT,2010,150.69797
Austria,Europe,AUT,2011,142.98404
Austria,Europe,AUT,2012,144.6829
Austria,Europe,AUT,2013,143.33409
Austria,Europe,AUT,2014,135.48659
Austria,Europe,AUT,2021,114.95767
Austria,Europe,AUT,2020,120.46285
Austria,Europe,AUT,2019,121.11068
Austria,Europe,AUT,2018,125.111595
Austria,Europe,AUT,2017,127.697716
Austria,Europe,AUT,2016,130.9472
Austria,Europe,AUT,2015,141.64326
Azerbaijan,Asia,AZE,1981,432.27438
Azerbaijan,Asia,AZE,1982,435.75827
Azerbaijan,Asia,AZE,1985,459.33325
Azerbaijan,Asia,AZE,1986,446.63678
Azerbaijan,Asia,AZE,1987,470.78708
Azerbaijan,Asia,AZE,1988,493.08148
Azerbaijan,Asia,AZE,1989,434.27194
Azerbaijan,Asia,AZE,1990,428.7994
Azerbaijan,Asia,AZE,1991,447.40863
Azerbaijan,Asia,AZE,1992,463.50146
Azerbaijan,Asia,AZE,1993,490.32706
Azerbaijan,Asia,AZE,1994,479.10165
Azerbaijan,Asia,AZE,1995,490.7555
Azerbaijan,Asia,AZE,1996,466.2843
Azerbaijan,Asia,AZE,1997,453.4867
Azerbaijan,Asia,AZE,1998,452.75443
Azerbaijan,Asia,AZE,1999,464.10706
Azerbaijan,Asia,AZE,2000,493.88245
Azerbaijan,Asia,AZE,2001,457.93903
Azerbaijan,Asia,AZE,2002,469.9084
Azerbaijan,Asia,AZE,2003,484.54285
Azerbaijan,Asia,AZE,2004,475.9079
Azerbaijan,Asia,AZE,2007,416.46802
Bahamas,North America,BHS,1972,360.84964
Bahamas,North America,BHS,1975,256.02478
Bahamas,North America,BHS,1979,258.28046
Bahamas,North America,BHS,1980,342.64758
Bahamas,North America,BHS,1981,289.02002
Bahamas,North America,BHS,1983,204.05649
Bahamas,North America,BHS,1984,199.78546
Bahamas,North America,BHS,1985,262.14453
Bahamas,North America,BHS,1987,240.13625
Bahamas,North America,BHS,1993,238.36807
Bahamas,North America,BHS,1994,223.13124
Bahamas,North America,BHS,1995,251.60916
Bahamas,North America,BHS,1996,213.92105
Bahamas,North America,BHS,1997,260.99008
Bahamas,North America,BHS,1998,242.09314
Bahamas,North America,BHS,1999,217.9727
Bahamas,North America,BHS,2000,221.27394
Bahamas,North America,BHS,2001,233.66866
Bahamas,North America,BHS,2002,249.9995
Bahamas,North America,BHS,2003,212.2099
Bahamas,North America,BHS,2004,238.57785
Bahamas,North America,BHS,2005,240.10498
Bahamas,North America,BHS,2006,206.22737
Bahamas,North America,BHS,2007,210.66638
Bahamas,North America,BHS,2008,228.98378
Bahamas,North America,BHS,2009,248.21465
Bahamas,North America,BHS,2010,246.71785
Bahamas,North America,BHS,2011,243.10075
Bahamas,North America,BHS,2012,204.78943
Bahamas,North America,BHS,2013,199.8967
Bahamas,North America,BHS,2014,214.66217
Bahamas,North America,BHS,2015,228.0822
Bahrain,Asia,BHR,1985,269.0252
Bahrain,Asia,BHR,1987,319.06235
Bahrain,Asia,BHR,1988,355.8422
